Aika_ms,KokonaisG,DynaaminenG,SisainenNopeus,BLE_Nopeus
BLE connected -> ACTIVE MODE
84287,0.942,-0.301,-0.283,0.000
84308,0.925,-0.256,-0.285,0.000
84328,0.971,-0.247,-0.284,0.000
84348,1.055,-0.235,-0.280,0.000
84368,1.082,-0.244,-0.279,0.000
84389,1.041,-0.285,-0.287,0.000
84409,1.046,-0.225,-0.282,0.000
84429,0.991,-0.236,-0.279,0.000
84449,0.948,-0.333,-0.292,0.000
84470,1.002,-0.325,-0.306,0.000
84490,0.991,-0.329,-0.315,0.000
84510,0.914,-0.347,-0.325,0.000
84530,0.852,-0.347,-0.334,0.000
84551,0.928,-0.242,-0.327,0.000
84571,0.996,-0.206,-0.312,0.000
84591,1.055,-0.217,-0.301,0.000
84611,1.050,-0.213,-0.292,0.000
84632,1.081,-0.111,-0.267,0.000
84653,1.039,-0.234,-0.268,0.000
84673,0.918,-0.290,-0.276,0.000
84693,0.984,-0.206,-0.269,0.000
84714,1.063,-0.180,-0.260,0.000
84734,1.146,-0.118,-0.241,0.000
84754,0.987,-0.225,-0.242,0.000
84774,0.988,-0.096,-0.222,0.000
84795,0.966,-0.191,-0.222,0.000
84815,0.950,-0.249,-0.230,0.000
84835,1.084,-0.105,-0.213,0.000
84855,1.149,-0.094,-0.197,0.000
84876,1.109,-0.154,-0.194,0.000
84896,1.047,-0.163,-0.192,0.000
84916,0.929,-0.196,-0.196,0.000
84936,0.909,-0.289,-0.215,0.000
84957,1.029,-0.258,-0.228,0.000
84977,1.129,-0.094,-0.209,0.000
84997,1.021,-0.169,-0.206,0.000
85017,0.972,-0.208,-0.210,0.000
85038,1.111,-0.134,-0.202,0.000
85058,1.128,-0.124,-0.192,0.000
85078,0.922,-0.242,-0.204,0.000
85098,0.936,-0.217,-0.209,0.000
85119,1.048,-0.103,-0.196,0.000
85139,0.919,-0.175,-0.196,0.000
85159,0.968,-0.145,-0.191,0.000
85179,0.961,-0.158,-0.188,0.000
85200,0.944,-0.165,-0.189,0.000
85220,0.921,-0.215,-0.197,0.000
85240,0.945,-0.179,-0.197,0.000
85260,0.972,-0.118,-0.187,0.000
85281,0.949,-0.163,-0.187,0.000
85301,0.970,-0.184,-0.190,0.000
85321,0.994,-0.175,-0.191,0.000
85341,1.003,-0.204,-0.196,0.000
85362,1.058,-0.196,-0.201,0.000
85382,1.066,-0.151,-0.196,0.000
85402,0.972,-0.219,-0.203,0.000
85422,1.077,-0.136,-0.196,0.000
85443,1.133,-0.121,-0.187,0.000
85463,1.042,-0.207,-0.194,0.000
85483,1.058,-0.168,-0.193,0.000
85503,1.009,-0.149,-0.189,0.000
85524,0.998,-0.163,-0.189,0.000
85544,1.101,-0.124,-0.181,0.000
85564,1.120,-0.070,-0.166,0.000
85584,1.190,0.045,-0.133,0.000
85605,1.062,-0.058,-0.124,0.000
85625,1.033,-0.126,-0.126,0.000
85645,1.108,-0.080,-0.121,0.000
85665,1.091,-0.082,-0.116,0.000
85686,1.086,-0.092,-0.115,0.000
85707,1.019,-0.115,-0.118,0.000
85727,1.008,-0.132,-0.122,0.000
85747,0.962,-0.187,-0.135,0.000
85768,0.923,-0.218,-0.153,0.000
85788,1.014,-0.147,-0.155,0.000
85808,1.085,-0.050,-0.140,0.000
85828,1.152,0.011,-0.119,0.000
85849,1.122,-0.055,-0.111,0.000
85869,1.027,-0.145,-0.118,0.000
85889,0.946,-0.202,-0.134,0.000
85909,0.993,-0.178,-0.144,0.000
85930,1.119,-0.098,-0.139,0.000
85950,1.134,-0.049,-0.127,0.000
85970,1.115,-0.035,-0.108,0.000
85990,1.082,-0.034,-0.091,0.000
86011,1.031,-0.054,-0.087,0.000
86031,1.015,-0.075,-0.087,0.000
86051,0.995,-0.123,-0.094,0.000
86071,0.981,-0.140,-0.104,0.000
86092,0.998,-0.121,-0.109,0.000
86112,1.076,-0.131,-0.115,0.000
86132,0.998,-0.193,-0.130,0.000
86152,0.936,-0.251,-0.152,0.000
86173,0.897,-0.292,-0.180,0.000
86193,0.937,-0.297,-0.203,0.000
86213,0.980,-0.301,-0.223,0.000
86233,1.014,-0.291,-0.238,0.000
86254,1.108,-0.235,-0.244,0.000
86274,1.113,-0.170,-0.235,0.000
86294,1.091,-0.137,-0.223,0.000
86314,1.026,-0.163,-0.217,0.000
86335,0.919,-0.243,-0.227,0.000
86355,0.837,-0.324,-0.247,0.000
86375,0.834,-0.344,-0.267,0.000
86395,0.868,-0.355,-0.286,0.000
86416,0.944,-0.300,-0.296,0.000
86436,1.015,-0.260,-0.295,0.000
86456,0.992,-0.267,-0.295,0.000
86476,0.927,-0.328,-0.306,0.000
86497,0.880,-0.445,-0.338,0.000
86517,0.896,-0.497,-0.370,0.000
86537,0.964,-0.431,-0.386,0.000
86557,1.100,-0.317,-0.381,0.000
86578,1.153,-0.262,-0.370,0.000
86598,1.103,-0.239,-0.354,0.000
86618,1.084,-0.214,-0.337,0.000
86638,1.071,-0.186,-0.317,0.000
86659,1.060,-0.210,-0.306,0.000
86679,1.029,-0.255,-0.303,0.000
86699,0.948,-0.328,-0.312,0.000
86719,0.901,-0.382,-0.329,0.000
86740,0.933,-0.383,-0.347,0.000
86760,1.006,-0.291,-0.343,0.000
86780,1.154,-0.168,-0.320,0.000
